City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Kumbo,CM,6.2,10.6667,57.06,91,36,1.5,scattered clouds
227,Kiama,AU,-34.6833,150.8667,68.25,55,74,8.99,broken clouds
228,Iskilip,TR,40.7353,34.4739,65.71,68,88,4.36,overcast clouds
229,Timmins,CA,48.4669,-81.3331,66.02,94,75,9.22,broken clouds
230,Tshikapa,CD,-6.4167,20.8,67.42,47,23,1.3,few clouds
231,Seminole,US,28.7086,-81.2081,82.76,86,0,4.61,clear sky
232,Jacareacanga,BR,-6.2222,-57.7528,70.56,99,47,1.32,scattered clouds
233,Urumqi,CN,43.801,87.6005,74.35,47,20,13.42,few clouds
234,Aykino,RU,62.2248,49.9922,64.76,81,100,6.89,overcast clouds
235,Vila Velha,BR,-20.3297,-40.2925,63.95,92,40,2.3,scattered clouds
236,Guaruja,BR,-23.9931,-46.2564,63.9,26,79,5.1,broken clouds
237,Saldanha,ZA,-33.0117,17.9442,42.85,70,43,9.42,scattered clouds
238,Marabba,SD,12.35,32.1833,82.58,45,100,12.15,overcast clouds
239,Kafanchan,NG,9.5833,8.3,66.83,90,100,1.07,overcast clouds
240,Oktyabrskiy,RU,54.4815,53.471,70.79,67,42,5.66,scattered clouds
241,Iquique,CL,-20.2208,-70.1431,60.84,83,70,3.24,broken clouds
242,Cloquet,US,46.7216,-92.4594,62.38,92,0,4.61,clear sky
243,Ilulissat,GL,69.2167,-51.1,37.42,60,0,3.44,clear sky
244,Beaverlodge,CA,55.2166,-119.4361,58.35,80,78,5.99,broken clouds
245,Aklavik,CA,68.2191,-135.0107,57.33,42,6,12.68,clear sky
246,Lazaro Cardenas,MX,17.9583,-102.2,80.24,83,100,15.73,overcast clouds
247,Luba,GQ,3.4568,8.5547,75.09,85,94,11.07,light rain
248,Chokurdakh,RU,70.6333,147.9167,69.53,23,89,7.2,overcast clouds
249,Pangnirtung,CA,66.1451,-65.7125,35.62,100,100,2.89,overcast clouds
250,Mana,GF,5.6592,-53.7767,75.72,85,77,5.3,broken clouds
251,Ptuj,SI,46.4201,15.8702,66.34,82,0,1.14,clear sky
252,Sisimiut,GL,66.9395,-53.6735,35.51,74,71,2.77,broken clouds
253,Lock Haven,US,41.137,-77.4469,81.09,97,85,6.62,overcast clouds
254,High Rock,BS,26.6208,-78.2833,78.82,74,99,6.82,overcast clouds
255,La Palma,US,33.8464,-118.0467,73.65,85,75,5.75,broken clouds
256,Khandyga,RU,62.6667,135.6,65.03,65,58,3.96,light rain
257,Mayya,RU,61.7333,130.2811,74.52,37,18,5.68,few clouds
258,Hasaki,JP,35.7333,140.8333,73.8,84,100,13.24,overcast clouds
259,Luwuk,ID,-0.9516,122.7875,84.07,74,76,3.04,broken clouds
260,Lavrentiya,RU,65.5833,-171.0,39.7,94,100,17.02,overcast clouds
261,Yerbogachen,RU,61.2767,108.0108,77.99,35,15,5.68,few clouds
262,Strezhevoy,RU,60.7333,77.5889,62.51,82,100,5.08,light rain
263,Terre Haute,US,39.4667,-87.4139,86.27,67,0,11.5,clear sky
264,Waldoboro,US,44.0954,-69.3756,59.38,94,6,2.68,clear sky
265,Banda Aceh,ID,5.5577,95.3222,84.52,63,98,1.57,overcast clouds
266,Cedar City,US,37.6775,-113.0619,70.77,14,0,9.22,clear sky
267,Dzerzhinskoye,RU,56.8344,95.2283,78.71,51,37,2.08,scattered clouds
268,Okmulgee,US,35.6234,-95.9605,82.26,83,0,4.61,clear sky
269,Dogbo,BJ,6.8167,1.7833,71.58,99,100,3.87,overcast clouds
270,Airai,TL,-8.9266,125.4092,72.54,54,59,5.41,broken clouds
271,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,20,10.36,few clouds
272,Seoul,KR,37.5683,126.9778,74.77,62,75,10.36,broken clouds
273,Chuy,UY,-33.6971,-53.4616,51.44,86,90,5.61,light rain
274,Yumen,CN,40.2833,97.2,92.93,5,98,12.75,overcast clouds
275,Karratha,AU,-20.7377,116.8463,82.81,27,70,14.61,broken clouds
276,Kruisfontein,ZA,-34.0033,24.7314,43.88,76,21,6.78,few clouds
277,Beloha,MG,-25.1667,45.05,67.64,76,65,7.96,broken clouds
278,Orlik,RU,52.5178,99.825,71.62,48,46,3.13,light rain
279,Taga,RO,46.95,24.05,53.92,70,7,2.33,clear sky
280,Otofuke,JP,42.9917,143.2003,67.15,91,96,4.25,overcast clouds
281,Canon City,US,38.441,-105.2424,76.98,32,0,11.5,clear sky
282,Qandala,SO,11.472,49.8728,92.43,44,18,2.77,few clouds
283,San Jose,US,37.3394,-121.895,65.08,58,20,10.36,few clouds
284,Ballina,AU,-28.8667,153.5667,74.01,47,0,5.84,clear sky
285,Poum,NC,-20.2333,164.0167,78.89,77,5,12.97,clear sky
286,Manhattan,US,40.7834,-73.9662,68.63,75,0,9.22,clear sky
287,Khilok,RU,51.3674,110.4676,82.85,25,81,2.64,broken clouds
288,Qui Nhon,VN,13.7667,109.2333,87.19,65,94,13.38,overcast clouds
289,Touros,BR,-5.1989,-35.4608,74.05,82,16,8.84,few clouds
290,Chuzhou,CN,32.3219,118.2978,97.05,30,4,5.99,clear sky
291,Enumclaw,US,47.2043,-121.9915,57.56,84,100,3.0,overcast clouds
292,Taltal,CL,-25.4,-70.4833,53.91,84,47,1.34,scattered clouds
293,Hambantota,LK,6.1241,81.1185,82.74,83,75,4.61,moderate rain
294,Kizilskoye,RU,52.7255,58.8937,71.31,55,2,1.57,clear sky
295,Shenjiamen,CN,29.9576,122.298,75.24,83,100,10.54,overcast clouds
296,Padang,ID,-0.9492,100.3543,86.05,64,70,6.22,broken clouds
297,Mahon,ES,39.8885,4.2658,68.56,83,0,3.44,clear sky
298,Bud,US,39.447,-86.1758,82.9,77,33,11.59,scattered clouds
299,Leh,IN,34.1667,77.5833,59.04,34,61,4.74,broken clouds
300,Half Moon Bay,US,37.4636,-122.4286,63.45,78,40,26.46,mist
301,Robertsport,LR,6.7533,-11.3686,77.76,84,100,12.57,light rain
302,Porbandar,IN,21.6422,69.6093,87.78,74,75,10.36,drizzle
